Season,RANK,REFEREE,ROLE,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,"[css3_tooltip header='Foul Differential Per Game' width='400px' content='Season average of {Called Fouls Against Road Team} - {Called Fouls Against Home Team}. When foul differential is in positive figure, that referee (a.k.a. homey) favors home teams and is more prone to call against road teams.' position='left' tag='a' style='style_33' delay='0' cursor='pointer' event='hover' ]FOUL DIFFERENTIAL[/css3_tooltip]"
2020-2021,,Bennie Adams,CREW,26,9,0.333,-7.667,217.222,37.667,51.917,48.082,1.4
2020-2021,,Mark Lindsay,CHIEF,14,9,0.333,-0.222,228.889,39.556,48.033,51.966,-1.6
2020-2021,,Pat Fraher,CREW,26,9,0.778,8.111,223.222,38.556,52.161,47.838,1.7
2020-2021,,Haywoode Workman,CHIEF,13,8,0.5,0.375,223.625,40.5,44.753,55.247,-4.3
2020-2021,,Leroy Richardson,CREW,26,8,0.5,2.875,226.375,40.375,53.56,46.44,2.9
2020-2021,,Brett Nansel,CHIEF,7,7,0.857,3.714,220.286,38.143,50.187,49.813,0.1
2020-2021,,Brent Barnaky,CHIEF,12,7,0.429,2.0,226.571,36.286,49.212,50.787,-0.6
2020-2021,,Eric Dalen,CHIEF,13,6,0.667,5.167,235.167,39.667,50.0,50.0,0.0
2020-2021,,Scott Foster,CREW,27,6,0.667,4.333,229.333,36.333,48.624,51.377,-1.0
2020-2021,,Karl Lane,CHIEF,11,5,0.6,10.2,235.0,31.4,48.408,51.592,-1.0
2020-2021,,Nick Buchert,CHIEF,12,6,0.833,2.833,231.833,46.167,53.429,46.57,3.2
2020-2021,,JB DeRosa,CREW,4,4,1.0,13.0,237.5,37.25,47.651,52.349,-1.8
2020-2021,,Sean Corbin,CREW,28,4,0.75,2.25,208.25,32.25,54.264,45.736,2.8
2020-2021,,Bill Spooner,CREW,32,3,0.667,-1.667,236.333,39.667,52.941,47.058,2.3
2020-2021,,Ken Mauer,CREW,33,3,0.333,-3.333,255.333,43.0,48.837,51.163,-1.0
2020-2021,,J.T. Orr,CREW,12,2,1.0,20.5,223.5,40.5,48.148,51.852,-1.5
2020-2021,,Rodney Mott,CREW,26,2,0.5,5.5,234.5,48.0,55.208,44.792,5.0
2020-2021,,Marat Kogut,CHIEF,12,2,0.0,-5.0,249.0,35.5,40.845,59.155,-6.5
2020-2021,,Gediminas Petraitis,CHIEF,7,1,1.0,3.0,295.0,46.0,52.174,47.826,2.0
2020-2021,,Matt Myers,CHIEF,10,1,0.0,-9.0,239.0,48.0,41.667,58.333,-8.0
2020-2021,,Scott Twardoski,CHIEF,12,1,1.0,12.0,216.0,29.0,48.276,51.724,-1.0
