Season,RANK,REFEREE,TYPE,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,"[css3_tooltip header='Foul Differential Per Game' width='400px' content='Season average of {Called Fouls Against Road Team} - {Called Fouls Against Home Team}. When foul differential is in positive figure, that referee (a.k.a. homey) favors home teams and is more prone to call against road teams.' position='left' tag='a' style='style_33' delay='0' cursor='pointer' event='hover' ]FOUL DIFFERENTIAL[/css3_tooltip]"
2019-2020,,Karl Lane,MAIN,10,2,1.0,4.5,203.5,43.0,48.837,51.163,-1.0
2019-2020,,Justin Van Duyne,MAIN,7,1,1.0,5.0,189.0,40.0,65.0,35.0,12.0
2019-2020,,Jonathan Sterling,MAIN,3,1,1.0,8.0,200.0,34.0,47.059,52.941,-2.0
2019-2020,,Matt Myers,MAIN,9,1,1.0,16.0,244.0,49.0,46.939,53.061,-3.0
2019-2020,,Bennie Adams,CREW,25,1,0.0,-2.0,204.0,36.0,50.0,50.0,0.0
2019-2020,,Sean Corbin,CREW,27,2,0.5,-8.0,219.0,35.0,50.0,50.0,0.0
2019-2020,,Lauren Holtkamp,MAIN,8,1,0.0,-8.0,210.0,43.0,51.163,48.837,1.0
2019-2020,,Bill Spooner,MAIN,31,1,1.0,29.0,219.0,49.0,48.98,51.02,-1.0
2019-2020,,J.T. Orr,MAIN,11,1,0.0,-12.0,230.0,38.0,50.0,50.0,0.0
2019-2020,,Bennie Adams,MAIN,25,1,0.0,-1.0,221.0,48.0,56.25,43.75,6.0
2019-2020,,CJ Washington,MAIN,6,1,1.0,20.0,282.0,53.0,50.943,49.057,1.0
2019-2020,,Haywoode Workman,MAIN,12,1,1.0,28.0,252.0,41.0,39.024,60.976,-9.0
