Season,RANK,REFEREE,ROLE,GENDER,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,FOUL DIFFERENTIAL (Against Road Team) - (Against Home Team)
2022-2023,,Mousa Dagher,CREW,MALE,5,44,0.545,3.6,229.1,40.3,0.496,0.504,-0.3
2022-2023,,Natalie Sago,CREW,FEMALE,5,62,0.468,0.5,232.9,40.6,0.498,0.503,-0.2
2022-2023,,Nate Green,CREW,MALE,5,36,0.444,-2.8,227.1,40.4,0.495,0.505,-0.4
2022-2023,,Nick Buchert,CREW,MALE,14,47,0.468,-0.4,228.9,40.8,0.508,0.491,0.7
2022-2023,,Nick Buchert,CHIEF,MALE,14,14,0.714,5.6,229.4,39.4,0.48,0.518,-1.5
2022-2023,,Pat Fraher,CHIEF,MALE,28,46,0.609,2.5,227.3,42.1,0.483,0.516,-1.4
2022-2023,,Pat Fraher,CREW,MALE,28,16,0.688,5.5,236.8,38.9,0.509,0.492,0.7
2022-2023,,Pat O'Connell,CREW,MALE,2,6,0.5,-0.8,233.8,43.2,0.532,0.467,2.8
2022-2023,,Phenizee Ransom,CREW,MALE,7,45,0.6,4.8,230.7,38.6,0.503,0.498,0.2
2022-2023,,Ray Acosta,CREW,MALE,6,64,0.594,2.1,225.0,39.3,0.516,0.483,1.3
2022-2023,,Robert Hussey,CREW,MALE,3,33,0.848,8.4,231.7,37.9,0.505,0.496,0.4
2022-2023,,Rodney Mott,CHIEF,MALE,28,50,0.64,3.6,227.1,39.0,0.521,0.478,1.7
2022-2023,,Rodney Mott,CREW,MALE,28,4,0.5,-3.8,223.3,39.8,0.471,0.528,-2.3
2022-2023,,Scott Foster,CHIEF,MALE,29,55,0.709,5.4,232.1,39.8,0.497,0.502,-0.2
2022-2023,,Scott Foster,CREW,MALE,29,3,0.667,3.0,227.7,41.7,0.48,0.52,-1.7
2022-2023,,Scott Twardoski,CREW,MALE,14,49,0.449,-2.4,229.2,40.0,0.502,0.497,0.2
2022-2023,,Scott Wall,CHIEF,MALE,28,30,0.633,4.0,224.4,38.8,0.505,0.494,0.4
2022-2023,,Scott Wall,CREW,MALE,28,12,0.667,5.6,234.8,40.9,0.532,0.469,2.6
2022-2023,,Sean Corbin,CHIEF,MALE,30,48,0.604,3.9,237.2,41.5,0.517,0.483,1.4
2022-2023,,Sean Corbin,CREW,MALE,30,5,0.8,4.8,221.6,40.0,0.53,0.47,2.4
2022-2023,,Sean Wright,CHIEF,MALE,18,41,0.488,2.3,229.6,40.5,0.514,0.487,1.1
2022-2023,,Sean Wright,CREW,MALE,18,22,0.636,5.1,224.7,40.3,0.504,0.496,0.3
2022-2023,,Sha'Rae Mitchell,CREW,MALE,2,7,0.429,-2.6,235.7,41.0,0.495,0.505,-0.4
2022-2023,,Simone Jelks,CREW,FEMALE,4,6,0.5,1.7,217.0,34.7,0.509,0.49,0.7
2022-2023,,Suyash Mehta,CREW,MALE,4,39,0.513,1.5,231.6,41.0,0.507,0.493,0.5
2022-2023,,Tom Washington,CHIEF,MALE,32,17,0.824,7.6,232.5,38.2,0.5,0.499,0.1
2022-2023,,Tom Washington,CREW,MALE,32,2,0.0,-5.5,246.5,40.0,0.45,0.55,-4.0
2022-2023,,Tony Brothers,CHIEF,MALE,29,64,0.641,3.1,234.7,41.1,0.523,0.478,1.8
2022-2023,,Tre Maddox,CREW,MALE,13,50,0.66,6.0,225.3,37.8,0.494,0.507,-0.5
2022-2023,,Tre Maddox,CHIEF,MALE,13,9,0.333,-1.4,225.2,40.2,0.473,0.528,-2.2
2022-2023,,Tyler Ford,CREW,MALE,9,56,0.518,2.3,231.6,41.1,0.506,0.495,0.4
2022-2023,,Tyler Ford,CHIEF,MALE,9,7,0.714,2.0,224.6,41.1,0.48,0.521,-1.7
2022-2023,,Tyler Mirkovich,CREW,MALE,2,7,0.571,2.7,230.1,44.3,0.458,0.542,-3.7
2022-2023,,Tyler Ricks,CREW,MALE,2,6,0.5,-1.3,222.3,37.5,0.511,0.489,0.8
2022-2023,,Zach Zarba,CHIEF,MALE,20,44,0.523,1.0,230.1,37.1,0.517,0.483,1.3
2022-2023,,Zach Zarba,CREW,MALE,20,20,0.75,6.2,231.0,38.6,0.49,0.509,-0.8
2022-2023,,James Capers,CREW,MALE,28,1,0.0,-19.0,235.0,47.0,57.447,42.553,7.0
