GAME_ID,TEAM_ABBREVIATION,PF
0021700315,DEN,19
0021700316,POR,14
0021700317,UTA,20
0021700321,MIA,24
0021700324,MIN,20
0021700318,ORL,15
0021700319,IND,17
0021700325,NOP,20
0021700322,CHI,16
0021700318,GSW,16
0021700322,SAC,15
0021700323,SAS,18
0021700324,OKC,24
0021700319,TOR,18
0021700325,UTA,15
0021700323,MEM,26
0021700320,WAS,20
0021700320,DET,21
0021700321,CHA,24
0021700327,LAC,20
0021700332,LAL,24
0021700331,MIL,18
0021700328,BKN,18
0021700330,PHI,24
0021700328,ATL,19
0021700326,BOS,16
0021700329,CLE,14
0021700333,NOP,16
0021700327,DAL,20
0021700332,DEN,19
0021700326,PHX,19
0021700333,POR,17
0021700331,SAC,28
0021700329,MEM,19
0021700330,DET,27
0021700338,HOU,23
0021700336,LAC,26
0021700338,LAL,22
0021700335,MIA,15
0021700336,MIN,16
0021700334,NYK,24
0021700334,ORL,11
0021700335,GSW,14
0021700337,SAS,24
0021700337,OKC,19
0021700343,MIL,17
0021700345,MIN,16
0021700342,BKN,28
0021700340,NYK,15
0021700339,ORL,30
0021700340,IND,20
0021700341,PHI,22
0021700342,ATL,19
0021700343,BOS,20
0021700344,CLE,13
0021700346,NOP,26
0021700344,CHI,16
0021700347,DAL,18
0021700347,DEN,19
0021700346,GSW,17
0021700341,PHX,14
0021700348,SAS,20
0021700349,UTA,20
0021700345,MEM,22
0021700349,WAS,21
0021700348,DET,22
0021700339,CHA,18
0021700350,PHX,24
0021700352,POR,20
0021700351,OKC,18
0021700350,TOR,28
0021700351,UTA,21
0021700352,WAS,22
0021700362,LAC,17
0021700361,MIA,16
0021700359,MIL,21
0021700362,MIN,17
0021700357,NYK,21
0021700355,ORL,23
0021700354,IND,14
0021700355,ATL,16
0021700356,BOS,15
0021700353,CLE,10
0021700360,NOP,19
0021700354,CHI,15
0021700356,DAL,12
0021700360,DEN,21
0021700358,GSW,20
0021700353,SAC,20
0021700361,SAS,13
0021700357,MEM,24
0021700359,DET,20
0021700358,CHA,13
0021700366,HOU,25
0021700363,LAL,23
0021700365,BKN,21
0021700363,PHI,26
0021700364,PHX,21
0021700365,OKC,25
0021700366,UTA,21
0021700364,WAS,23
0021700372,MIL,24
0021700370,ORL,17
0021700369,IND,19
0021700374,BOS,22
0021700369,CLE,23
0021700373,NOP,14
0021700367,CHI,28
0021700372,DAL,22
0021700370,DEN,20
0021700368,GSW,19
0021700373,SAC,21
0021700374,SAS,14
0021700371,TOR,23
0021700371,MEM,25
0021700368,DET,17
0021700367,CHA,20
0021700384,HOU,17
0021700375,LAC,19
0021700377,LAL,21
0021700376,MIA,17
0021700381,MIL,29
0021700376,BKN,17
0021700380,NYK,17
0021700378,ORL,24
0021700379,PHI,21
0021700378,ATL,13
0021700379,CLE,16
0021700380,CHI,19
0021700383,PHX,21
0021700384,POR,28
0021700383,SAS,23
0021700382,OKC,21
0021700381,UTA,23
0021700382,MEM,30
0021700375,WAS,18
0021700377,CHA,21
0021700388,MIN,19
0021700390,NYK,30
0021700387,IND,17
0021700389,PHI,29
0021700390,ATL,28
0021700386,BOS,18
0021700389,NOP,21
0021700388,DAL,22
0021700387,DEN,20
0021700385,SAC,17
0021700385,TOR,17
0021700386,DET,16
0021700392,HOU,15
0021700396,LAC,20
0021700393,MIA,22
0021700391,BOS,19
0021700392,NOP,19
0021700391,CHI,18
0021700395,GSW,16
0021700395,POR,18
0021700394,OKC,19
0021700396,TOR,22
0021700393,MEM,22
0021700394,CHA,20
0021700399,LAL,19
0021700401,MIN,21
0021700400,BKN,21
0021700399,NYK,16
0021700401,PHI,18
0021700397,ATL,17
0021700397,CLE,18
0021700402,DAL,19
0021700398,DEN,15
0021700403,PHX,18
0021700403,SAC,18
0021700402,SAS,11
0021700400,WAS,26
0021700398,DET,16
0021700412,HOU,18
0021700405,LAC,19
0021700408,MIA,21
0021700410,MIL,13
0021700405,ORL,13
0021700404,IND,21
0021700407,BOS,20
0021700410,NOP,16
0021700409,CHI,14
0021700407,DEN,20
0021700411,PHX,24
0021700408,POR,21
0021700404,OKC,12
0021700411,TOR,25
0021700409,UTA,19
0021700406,MEM,23
0021700406,WAS,22
0021700412,CHA,15
0021700415,LAL,20
0021700416,MIN,19
0021700414,BKN,21
0021700414,NYK,23
0021700413,ATL,12
0021700415,CLE,16
0021700417,DAL,16
0021700417,GSW,22
0021700416,SAC,21
0021700413,DET,23
0021700428,HOU,16
0021700422,LAC,20
0021700418,MIA,23
0021700426,MIL,24
0021700424,BKN,14
0021700420,ORL,18
0021700419,IND,15
0021700421,PHI,20
0021700425,ATL,19
0021700423,BOS,18
